CODE*COMPLETO*DESCRIPCION1*DESCRIPCION2
M1A3711*1*Chronic gout due to renal impairment, right ank/ft, w toph*Gota crónica debida a insuficiencia renal, tobillo y pie derechos, con tofos (tofos)
S65506S*1*Unsp injury of blood vessel of right little finger, sequela*Lesión no especificada de vaso sanguíneo del meñique derecho, secuela
S65507*0*Unspecified injury of blood vessel of left little finger*Lesión no especificada de vaso sanguíneo del dedo meñique izquierdo
S65507A*1*Unsp injury of blood vessel of left little finger, init*Lesión no especificada de vaso sanguíneo del dedo meñique izquierdo, encuentro inicial
S65507D*1*Unsp injury of blood vessel of left little finger, subs*Lesión no especificada de vaso sanguíneo del dedo meñique izquierdo, encuentro posterior
S65507S*1*Unsp injury of blood vessel of left little finger, sequela*Lesión no especificada de vaso sanguíneo del dedo meñique izquierdo, secuela
S65508*0*Unspecified injury of blood vessel of other finger*Lesión no especificada de vaso sanguíneo de otro dedo
S65508A*1*Unsp injury of blood vessel of other finger, init encntr*Lesión no especificada del vaso sanguíneo del otro dedo, encuentro inicial
S65508D*1*Unsp injury of blood vessel of other finger, subs encntr*Lesión no especificada del vaso sanguíneo del otro dedo, encuentro posterior
S65508S*1*Unspecified injury of blood vessel of other finger, sequela*Lesión no especificada de vaso sanguíneo de otro dedo, secuela
S65509*0*Unspecified injury of blood vessel of unspecified finger*Lesión no especificada de vaso sanguíneo de dedo no especificado
S65509A*1*Unsp injury of blood vessel of unsp finger, init encntr*Lesión no especificada de vaso sanguíneo de dedo no especificado, encuentro inicial
S65509D*1*Unsp injury of blood vessel of unsp finger, subs encntr*Lesión no especificada de vaso sanguíneo de dedo no especificado, encuentro posterior
S65509S*1*Unsp injury of blood vessel of unspecified finger, sequela*Lesión no especificada de vaso sanguíneo de dedo no especificado, secuela
S6551*0*Laceration of blood vessel of other and unspecified finger*Laceración de vaso sanguíneo de otro dedo y del dedo no especificado
S65510*0*Laceration of blood vessel of right index finger*Laceración del vaso sanguíneo del dedo índice derecho
S65510A*1*Laceration of blood vessel of right index finger, init*Laceración del vaso sanguíneo del dedo índice derecho, encuentro inicial
S65510D*1*Laceration of blood vessel of right index finger, subs*Laceración del vaso sanguíneo del dedo índice derecho, encuentro posterior
S65510S*1*Laceration of blood vessel of right index finger, sequela*Laceración de vaso sanguíneo del dedo índice derecho, secuela
S65511*0*Laceration of blood vessel of left index finger*Laceración del vaso sanguíneo del dedo índice izquierdo
S65511A*1*Laceration of blood vessel of left index finger, init encntr*Laceración de vaso sanguíneo del dedo índice izquierdo, encuentro inicial
S65511D*1*Laceration of blood vessel of left index finger, subs encntr*Laceración del vaso sanguíneo del dedo índice izquierdo, encuentro posterior
S65511S*1*Laceration of blood vessel of left index finger, sequela*Laceración de vaso sanguíneo del dedo índice izquierdo, secuela
S65512*0*Laceration of blood vessel of right middle finger*Laceración del vaso sanguíneo del dedo medio derecho
S65512A*1*Laceration of blood vessel of right middle finger, init*Laceración del vaso sanguíneo del dedo medio derecho, encuentro inicial
S65512D*1*Laceration of blood vessel of right middle finger, subs*Laceración del vaso sanguíneo del dedo medio derecho, encuentro posterior
S65512S*1*Laceration of blood vessel of right middle finger, sequela*Laceración de vaso sanguíneo del dedo medio derecho, secuela
S65513*0*Laceration of blood vessel of left middle finger*Laceración del vaso sanguíneo del dedo medio izquierdo
S65513A*1*Laceration of blood vessel of left middle finger, init*Laceración del vaso sanguíneo del dedo medio izquierdo, encuentro inicial
S65513D*1*Laceration of blood vessel of left middle finger, subs*Laceración del vaso sanguíneo del dedo medio izquierdo, encuentro posterior
S65513S*1*Laceration of blood vessel of left middle finger, sequela*Laceración de vaso sanguíneo del dedo medio izquierdo, secuela
S65514*0*Laceration of blood vessel of right ring finger*Laceración del vaso sanguíneo del dedo anular derecho
S65514A*1*Laceration of blood vessel of right ring finger, init encntr*Laceración del vaso sanguíneo del dedo anular derecho, encuentro inicial
S65514D*1*Laceration of blood vessel of right ring finger, subs encntr*Laceración del vaso sanguíneo del dedo anular derecho, encuentro posterior
S65514S*1*Laceration of blood vessel of right ring finger, sequela*Laceración de vaso sanguíneo del dedo anular derecho, secuela
S65515*0*Laceration of blood vessel of left ring finger*Laceración del vaso sanguíneo del dedo anular izquierdo
S65515A*1*Laceration of blood vessel of left ring finger, init encntr*Laceración del vaso sanguíneo del dedo anular izquierdo, encuentro inicial
S65515D*1*Laceration of blood vessel of left ring finger, subs encntr*Laceración del vaso sanguíneo del dedo anular izquierdo, encuentro posterior
S65515S*1*Laceration of blood vessel of left ring finger, sequela*Laceración de vaso sanguíneo del dedo anular izquierdo, secuela
S65516*0*Laceration of blood vessel of right little finger*Laceración del vaso sanguíneo del dedo meñique derecho
S65516A*1*Laceration of blood vessel of right little finger, init*Laceración del vaso sanguíneo del dedo meñique derecho, encuentro inicial
S65516D*1*Laceration of blood vessel of right little finger, subs*Laceración del vaso sanguíneo del dedo meñique derecho, encuentro posterior
S65516S*1*Laceration of blood vessel of right little finger, sequela*Laceración de vaso sanguíneo del dedo meñique derecho, secuela
S65517*0*Laceration of blood vessel of left little finger*Laceración del vaso sanguíneo del dedo meñique izquierdo
S65517A*1*Laceration of blood vessel of left little finger, init*Laceración de vaso sanguíneo del dedo meñique izquierdo, encuentro inicial
S65517D*1*Laceration of blood vessel of left little finger, subs*Laceración del vaso sanguíneo del dedo meñique izquierdo, encuentro posterior
S65517S*1*Laceration of blood vessel of left little finger, sequela*Laceración de vaso sanguíneo del dedo meñique izquierdo, secuela
S65518*0*Laceration of blood vessel of other finger*Laceración del vaso sanguíneo del otro dedo
S65518A*1*Laceration of blood vessel of other finger, init encntr*Laceración del vaso sanguíneo del otro dedo, encuentro inicial
S65518D*1*Laceration of blood vessel of other finger, subs encntr*Laceración del vaso sanguíneo del otro dedo, encuentro posterior
S65518S*1*Laceration of blood vessel of other finger, sequela*Laceración de vaso sanguíneo de otro dedo, secuela
S66499*0*Inj intrinsic musc/fasc/tend thmb at wrist and hand level*Otra lesión especificada de músculo intrínseco, fascia y tendón del pulgar no especificado a nivel de muñeca y mano
S66499A*1*Inj intrinsic musc/fasc/tend thmb at wrs/hnd lv, init*Otra lesión especificada de músculo intrínseco, fascia y tendón del pulgar no especificado a nivel de muñeca y mano, encuentro inicial
S66499D*1*Inj intrinsic musc/fasc/tend thmb at wrs/hnd lv, subs*Otra lesión especificada de músculo intrínseco, fascia y tendón del pulgar no especificado a nivel de la muñeca y la mano, encuentro posterior
S66499S*1*Inj intrinsic musc/fasc/tend thmb at wrs/hnd lv, sequela*Otra lesión especificada de músculo intrínseco, fascia y tendón del pulgar no especificado a nivel de muñeca y mano, secuela
S665*0*Inj intrinsic musc/fasc/tend and unsp finger at wrs/hnd lv*Traumatismo de músculo intrínseco, fascia y tendón de otro dedo y el no especificado a nivel de muñeca y mano
S6650*0*Unsp inj intrns musc/fasc/tend and unsp finger at wrs/hnd lv*Lesión no especificada de músculo intrínseco, fascia y tendón de otro dedo y el no especificado a nivel de muñeca y mano
S66500*0*Unsp inj intrinsic musc/fasc/tend r idx fngr at wrs/hnd lv*Lesión no especificada de músculo intrínseco, fascia y tendón del dedo índice derecho a nivel de muñeca y mano
S66500A*1*Unsp inj intrns musc/fasc/tend r idx fngr at wrs/hnd lv,init*Lesión no especificada de músculo intrínseco, fascia y tendón del dedo índice derecho a nivel de la muñeca y la mano, encuentro inicial
S66500D*1*Unsp inj intrns musc/fasc/tend r idx fngr at wrs/hnd lv,subs*Lesión no especificada de músculo intrínseco, fascia y tendón del dedo índice derecho a nivel de la muñeca y la mano, encuentro posterior
S66500S*1*Unsp inj intrns musc/fasc/tend r idx fngr at wrs/hnd lv,sqla*Lesión no especificada de músculo intrínseco, fascia y tendón del dedo índice derecho a nivel de muñeca y mano, secuela
S66501*0*Unsp inj intrinsic musc/fasc/tend l idx fngr at wrs/hnd lv*Lesión no especificada de músculo intrínseco, fascia y tendón del dedo índice izquierdo a nivel de muñeca y mano
S66501A*1*Unsp inj intrns musc/fasc/tend l idx fngr at wrs/hnd lv,init*Lesión no especificada de músculo intrínseco, fascia y tendón del dedo índice izquierdo a nivel de la muñeca y la mano, encuentro inicial
S66501D*1*Unsp inj intrns musc/fasc/tend l idx fngr at wrs/hnd lv,subs*Lesión no especificada de músculo intrínseco, fascia y tendón del dedo índice izquierdo a nivel de la muñeca y la mano, encuentro posterior
S66501S*1*Unsp inj intrns musc/fasc/tend l idx fngr at wrs/hnd lv,sqla*Lesión no especificada de músculo intrínseco, fascia y tendón del dedo índice izquierdo a nivel de muñeca y mano, secuela
S66502*0*Unsp inj intrinsic musc/fasc/tend r mid finger at wrs/hnd lv*Lesión no especificada de músculo intrínseco, fascia y tendón del dedo medio derecho a nivel de muñeca y mano
S66502A*1*Unsp inj intrns musc/fasc/tend r mid fngr at wrs/hnd lv,init*Lesión no especificada de músculo intrínseco, fascia y tendón del dedo medio derecho a nivel de la muñeca y la mano, encuentro inicial
S66502D*1*Unsp inj intrns musc/fasc/tend r mid fngr at wrs/hnd lv,subs*Lesión no especificada de músculo intrínseco, fascia y tendón del dedo medio derecho a nivel de la muñeca y la mano, encuentro posterior
S66502S*1*Unsp inj intrns musc/fasc/tend r mid fngr at wrs/hnd lv,sqla*Lesión no especificada de músculo intrínseco, fascia y tendón del dedo medio derecho a nivel de la muñeca y la mano, secuela
S66503*0*Unsp inj intrinsic musc/fasc/tend l mid finger at wrs/hnd lv*Lesión no especificada de músculo intrínseco, fascia y tendón del dedo medio izquierdo a nivel de muñeca y mano
S66503A*1*Unsp inj intrns musc/fasc/tend l mid fngr at wrs/hnd lv,init*Lesión no especificada de músculo intrínseco, fascia y tendón del dedo medio izquierdo a nivel de la muñeca y la mano, encuentro inicial
S66503D*1*Unsp inj intrns musc/fasc/tend l mid fngr at wrs/hnd lv,subs*Lesión no especificada de músculo intrínseco, fascia y tendón del dedo medio izquierdo a nivel de la muñeca y la mano, encuentro posterior
S66503S*1*Unsp inj intrns musc/fasc/tend l mid fngr at wrs/hnd lv,sqla*Lesión no especificada de músculo intrínseco, fascia y tendón del dedo medio izquierdo a nivel de la muñeca y la mano, secuela
S66504*0*Unsp inj intrinsic musc/fasc/tend r rng fngr at wrs/hnd lv*Lesión no especificada de músculo intrínseco, fascia y tendón del dedo anular derecho a nivel de muñeca y mano
S66504A*1*Unsp inj intrns musc/fasc/tend r rng fngr at wrs/hnd lv,init*Lesión no especificada de músculo intrínseco, fascia y tendón del dedo anular derecho a nivel de la muñeca y la mano, encuentro inicial
S66504D*1*Unsp inj intrns musc/fasc/tend r rng fngr at wrs/hnd lv,subs*Lesión no especificada de músculo intrínseco, fascia y tendón del dedo anular derecho a nivel de la muñeca y la mano, encuentro posterior
S66504S*1*Unsp inj intrns musc/fasc/tend r rng fngr at wrs/hnd lv,sqla*Lesión no especificada de músculo intrínseco, fascia y tendón del dedo anular derecho a nivel de la muñeca y la mano, secuela
S66505*0*Unsp inj intrinsic musc/fasc/tend l rng fngr at wrs/hnd lv*Lesión no especificada de músculo intrínseco, fascia y tendón del dedo anular izquierdo a nivel de la muñeca y la mano
S66505A*1*Unsp inj intrns musc/fasc/tend l rng fngr at wrs/hnd lv,init*Lesión no especificada de músculo intrínseco, fascia y tendón del dedo anular izquierdo a nivel de la muñeca y la mano, encuentro inicial
S66505D*1*Unsp inj intrns musc/fasc/tend l rng fngr at wrs/hnd lv,subs*Lesión no especificada de músculo intrínseco, fascia y tendón del dedo anular izquierdo a nivel de la muñeca y la mano, encuentro posterior
S66505S*1*Unsp inj intrns musc/fasc/tend l rng fngr at wrs/hnd lv,sqla*Lesión no especificada de músculo intrínseco, fascia y tendón del dedo anular izquierdo a nivel de la muñeca y la mano, secuela
S66506*0*Unsp inj intrns musc/fasc/tend r little finger at wrs/hnd lv*Lesión no especificada de músculo intrínseco, fascia y tendón del dedo meñique derecho a nivel de muñeca y mano
S66506A*1*Unsp inj intrns musc/fasc/tend r lit fngr at wrs/hnd lv,init*Lesión no especificada de músculo intrínseco, fascia y tendón del dedo meñique derecho a nivel de la muñeca y la mano, encuentro inicial
S66506D*1*Unsp inj intrns musc/fasc/tend r lit fngr at wrs/hnd lv,subs*Lesión no especificada de músculo intrínseco, fascia y tendón del dedo meñique derecho a nivel de muñeca y mano, encuentro posterior
S66506S*1*Unsp inj intrns musc/fasc/tend r lit fngr at wrs/hnd lv,sqla*Lesión no especificada de músculo intrínseco, fascia y tendón del dedo meñique derecho a nivel de muñeca y mano, secuela
S66507*0*Unsp inj intrns musc/fasc/tend l little finger at wrs/hnd lv*Lesión no especificada de músculo intrínseco, fascia y tendón del dedo meñique izquierdo a nivel de muñeca y mano
